stop_id,stop_name,stop_lat,stop_lon
3035,SW 87 AV & SW 193 TE,25.58746,-80.331986
3036,SW 87 AV & SW 198 ST,25.583411,-80.331941
3037,SW 87 AV & SW 200 TR,25.580833,-80.331912
3038,SW 87 AV & OLD CUTLER RD,25.579323,-80.331877
441,SW 87 AV & 207 ST,25.575367,-80.331709
9737,SW 207 ST & SW 85 PASSAGE,25.574948,-80.328573
10499,SW 210 ST & 82 AV,25.572308,-80.322224
9766,SW 85 AV & SW 209 ST,25.572722,-80.326668
9765,SW 85 AV & SW 212 ST,25.570818,-80.326613
9767,SW 212 ST & SW 87 AV,25.570554,-80.329871
9743,SW 216 ST & SW 87 PL,25.563963,-80.333495
9742,SW 216 ST & SW 92 AV,25.565028,-80.341369
9741,SW 216 ST & SW 97 AV,25.566699,-80.34541
10245,SW 216 ST & SW 98 CT,25.566663,-80.350165
440,OLD CULTER RD & SW 92 AV,25.576599,-80.339775
remix_2caf70ec-7701-4790-beec-3427aa27cf69,Untitled Stop,25.96740871688,-80.2622240919402
remix_95f29c73-2390-45fc-b16d-15a22c0e0ef9,Untitled Stop,25.9679151765198,-80.2585072763773
remix_e47ddbdc-d953-484a-8af7-238b081348ea,Untitled Stop,25.9681075964738,-80.2546701653711
remix_caa0a9b7-d85a-453b-8589-934ffb5b9ba0,Untitled Stop,25.9640965788093,-80.2540955937786
remix_80fcba8f-e6de-4f39-a7a2-154946b89627,Untitled Stop,25.9641852943211,-80.2503472520676
remix_5a57f1b8-ef16-479c-b0c3-38c290ff9dd2,Untitled Stop,25.9641573528208,-80.2469303479787
remix_986d418e-16cc-44d4-a2bb-f9cb528dbd83,Untitled Stop,25.9589325137902,-80.2467655477991
remix_306be4dc-29de-4a9c-bc6d-144492e99123,Untitled Stop,25.9550947130224,-80.2463472092807
remix_4c986749-a38b-4e0d-af02-ba29bfcb1251,Untitled Stop,25.9517066990798,-80.2461203916681
remix_644dca02-6e7a-4648-9b76-91a454a12ce7,Untitled Stop,25.947758196379,-80.2460389252066
remix_f7398a9a-1346-46dd-bcbc-f0b6c2009f9a,Untitled Stop,25.9443390470896,-80.2457688081651
197,NW 27 AV & 183 ST,25.940407,-80.245489
6263,NW 27 AV & NW 177 ST,25.935139,-80.245191
6264,NW 27 AV & # 17210,25.931159,-80.244988
6265,NW 27 AV & NW 169 TE,25.928706,-80.244868
6266,NW 27 AV & NW 165 TE,25.924875,-80.244695
6267,NW 27 AV & NW 163 ST,25.92208,-80.244634
6268,NW 27 AV & NW 159 ST,25.918475,-80.24457
6270,NW 27 AV & NW 154 ST,25.914,-80.244419
8966,NW 27 AV & PERI ST,25.910297,-80.244239
8968,NW 27 AV & SESAME ST,25.906099,-80.244071
8970,NW 27 AV & WILMINGTON ST,25.901708,-80.243892
8972,NW 27 AV & OPA LOCKA BD,25.898328,-80.243785
8974,NW 27 AV & NW 131 ST,25.893464,-80.243593
5584,NW 27 AV & OP # 12501,25.88843,-80.24339
5586,NW 27 AV & NW 119 ST,25.88347,-80.243253
5589,NW 27 AV & NW 115 ST,25.878744,-80.243071
152,MIAMI DADE COLLEGE NORTH CAMPUS,25.876722,-80.245667
5590,NW 27 AV & NW 108 ST,25.873299,-80.2429
9941,NW 27 AV & NW 103 ST,25.867933,-80.242636
4862,NW 27 AV & NW 98 ST,25.863513,-80.24249
4864,NW 27 AV & NW 95 ST,25.859797,-80.242334
4855,NW 27 AV & NW 91 ST,25.856936,-80.241972
remix_dd27d446-adba-4b7e-83ec-4dcabd6fbc63,Untitled Stop,25.8534790827538,-80.242200103821
4869,NW 27 AV & NW 83 ST,25.849624,-80.242004
113,NW 27 AV & 79 ST,25.845396,-80.241856
4872,NW 27 AV & NW 75 ST,25.84226,-80.241737
4874,NW 27 AV & NW 71 ST,25.838407,-80.241603
4875,NW 27 AV & NW 68 ST,25.835842,-80.241481
199,DR MARTIN LUTHER KING JR STATION,25.832248,-80.240652
4876,NW 27 AV & NW 62 ST,25.830819,-80.241247
4878,NW 27 AV & NW 58 ST,25.827688,-80.241115
4880,NW 27 AV & NW 54 ST,25.823539,-80.240916
200,BROWNSVILLE METRORAIL STATION,25.821998,-80.241292
4881,NW 27 AV & NW 50 ST,25.819974,-80.240788
4883,NW 27 AV & NW 46 ST,25.816641,-80.240665
4884,NW 27 AV & NW 43 TE,25.81446,-80.240588
4887,NW 27 AV & NW 32 ST,25.805552,-80.240226
4889,NW 27 AV & NW 28 ST,25.801865,-80.240104
7431,NW 27 AV & NW 24 ST,25.798757,-80.239783
1138,NW 27 AV & NW 20 ST,25.79475,-80.239716
7378,NW 27 AV & NW 17 ST,25.790213,-80.239807
7379,NW 27 AV & NW 14 ST,25.787496,-80.239717
remix_daf2d1d1-4c0e-431b-a069-7ce8ab4ff2a1,Untitled Stop,25.7828424836083,-80.23924754578
remix_25e9a586-7622-43da-937c-7708ff6366d8,Untitled Stop,25.7793509691149,-80.2392366470368
remix_03a50a8d-c798-4cb0-9d8e-c8ffdc2e0c4d,Untitled Stop,25.7757050319223,-80.2390560740866
202,SW 27 AV & W FLAGLER ST,25.771795,-80.239205
7385,SW 27 AV & SW 4 ST,25.768207,-80.239069
1133,SW 27 AV & SW 8 ST,25.764934,-80.238942
7388,SW 27 AV & SW 12 ST,25.761269,-80.238807
7390,SW 27 AV & SW 16 ST,25.757457,-80.238647
7393,SW 27 AV & SW 20 ST,25.752354,-80.238434
188,SW 22 ST & 27 AV,25.750457,-80.238001
7395,SW 27 AV & SW 24 ST,25.746755,-80.238223
remix_9573ab81-a0d7-4da8-8cb0-358d5c5525e3,Untitled Stop,25.7404145570531,-80.2375722157337
remix_a3274dfc-7ec9-4680-9599-1e3ee608fe35,Untitled Stop,25.7371223407462,-80.2375785247674
remix_5005c533-afe7-4680-88af-5d49acf90e38,Untitled Stop,25.7321165836893,-80.2372680904284
remix_5a8d5398-1fa5-4ea9-a11d-d165e7898f8d,Untitled Stop,25.7294880247267,-80.2370403062017
remix_18ba0a5c-9ce8-4e18-bfe0-4c6d1ada8732,Untitled Stop,25.7278465512313,-80.2344658970833
7404,SW 27 AV & DAY AV,25.732379,-80.237481
remix_961444b5-4042-4f93-bc73-760462989c97,Untitled Stop,25.7438630366882,-80.2378656089732
7412,SW 27 AV & SW 24 TE,25.746136,-80.237957
7415,SW 27 AV & SW 19 ST,25.75389,-80.238259
7417,SW 27 AV & SW 16 ST,25.758034,-80.238425
7419,SW 27 AV & SW 12 ST,25.761672,-80.238573
1136,SW 27 AV & SW 8 ST,25.765573,-80.238729
7422,SW 27 AV & SW 4 ST,25.768618,-80.238842
207,NW 27 AV & W FLAGLER ST,25.772888,-80.239001
7428,NW 27 AV & NW 14 ST,25.787471,-80.239472
7430,NW 27 AV & NW 17 ST,25.790524,-80.239582
7433,NW 27 AV & NW 28 ST,25.801507,-80.239829
208,NW 27 AV & NW 36 ST,25.80956,-80.24008
4836,NW 27 AV & NW 44 ST,25.815242,-80.240303
4837,NW 27 AV & NW 46 ST,25.816739,-80.240363
4839,NW 27 AV & NW 50 ST,25.819686,-80.240475
4840,NW 27 AV & NW 54 ST,25.824441,-80.24065
4842,NW 27 AV & NW 58 ST,25.827356,-80.240786
4844,NW 27 AV & NW 62 ST,25.830549,-80.240966
4846,NW 27 AV & NW 68 ST,25.835843,-80.241199
4847,NW 27 AV & NW 71 ST,25.838397,-80.241339
4849,NW 27 AV & NW 75 ST,25.843151,-80.241489
4851,NW 27 AV & NW 80 ST,25.847648,-80.241634
4852,NW 27 AV & NW 83 ST,25.850117,-80.241729
4856,NW 27 AV & NW 93 ST,25.858356,-80.242025
4857,NW 27 AV & NW 95 ST,25.861011,-80.242116
4859,NW 27 AV & NW 99 ST,25.8642,-80.242214
4860,NW 27 AV & NW 101 ST,25.866197,-80.242303
1139,NW 27 AV & NW 103 ST,25.868969,-80.242388
5574,NW 27 AV & NW 108 ST,25.872676,-80.242526
5575,NW 27 AV & NW 111 ST,25.875283,-80.242624
